,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
202,55.8,74.5,65.4,63.5,Cardiff University,,201-250,https://www.topuniversities.com/universities/cardiff-university
203,53.3,80.9,58,66.7,Chonbuk National University,,201-250,https://www.topuniversities.com/universities/chonbuk-national-university
204,48.8,80.9,66,70.5,Curtin University,,201-250,https://www.topuniversities.com/universities/curtin-university
205,50.1,74.3,58.8,80.3,Dalian University of Technology,,201-250,https://www.topuniversities.com/universities/dalian-university-technology
206,55.6,75.3,66.2,59.9,Deakin University,,201-250,https://www.topuniversities.com/universities/deakin-university
207,61.8,65.9,61,62.3,École Centrale de Lyon,,201-250,https://www.topuniversities.com/universities/ecole-centrale-de-lyon
208,55.4,78.4,57.2,69.6,Gwangju Institute of Science and Technology (GIST),,201-250,https://www.topuniversities.com/universities/gwangju-institute-science-technology-gist
209,58.7,75.7,55,61.1,Hiroshima University,,201-250,https://www.topuniversities.com/universities/hiroshima-university
210,60.1,67.9,61,52.7,Institut National des Sciences Appliquées de Lyon (INSA),,201-250,https://www.topuniversities.com/universities/institut-national-des-sciences-appliqu%C3%A9es-de-lyon-insa
211,62.8,60,57.7,57.2,International Islamic University Malaysia (IIUM),,201-250,https://www.topuniversities.com/universities/international-islamic-university-malaysia-iium
212,46.2,82.6,61.6,72.2,King Abdulaziz University (KAU),,201-250,https://www.topuniversities.com/universities/king-abdulaziz-university-kau
213,35.6,86,74.3,73.9,Kyung Hee University,,201-250,https://www.topuniversities.com/universities/kyung-hee-university
214,51.2,72.3,71.7,63.5,Kyungpook National University,,201-250,https://www.topuniversities.com/universities/kyungpook-national-university
215,59,74.2,55.7,67.7,Leibniz Universität Hannover,,201-250,https://www.topuniversities.com/universities/leibniz-universit%C3%A4t-hannover
216,57.6,48,78.2,43.1,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),,201-250,https://www.topuniversities.com/universities/moscow-institute-physics-technology-mipt-moscow-phystech
217,59.7,69.3,53.6,76.2,Nanjing University of Aeronautics and Astronautics,,201-250,https://www.topuniversities.com/universities/nanjing-university-aeronautics-astronautics
218,61.2,68,64.6,55.8,National Chung Hsing University,,201-250,https://www.topuniversities.com/universities/national-chung-hsing-university
219,52.9,69.2,71.5,62.3,New York University (NYU),,201-250,https://www.topuniversities.com/universities/new-york-university-nyu
220,52.7,70.8,58.7,78.3,Northwestern Polytechnical University,,201-250,https://www.topuniversities.com/universities/northwestern-polytechnical-university
221,58.2,50.6,69,52.7,Peter the Great Saint-Petersburg Polytechnic University,,201-250,https://www.topuniversities.com/universities/peter-great-saint-petersburg-polytechnic-university
222,66.7,51.4,68.5,38.2,Pontificia Universidad Católica de Chile (UC),,201-250,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc
223,54,72.7,63.3,62.3,Queen's University Belfast,,201-250,https://www.topuniversities.com/universities/queens-university-belfast
224,49.4,85.1,58.4,73.9,Rutgers University - New Brunswick,,201-250,https://www.topuniversities.com/universities/rutgers-university-new-brunswick
225,43.9,75.8,72.2,59.9,Sejong University ,,201-250,https://www.topuniversities.com/universities/sejong-university
226,47.1,65.3,78.2,57.2,Sogang University,,201-250,https://www.topuniversities.com/universities/sogang-university
227,49,72.1,69.1,61.1,Swinburne University of Technology,,201-250,https://www.topuniversities.com/universities/swinburne-university-technology
228,54.5,73,64.3,58.6,TU Dortmund University,,201-250,https://www.topuniversities.com/universities/tu-dortmund-university
229,39,80.9,72,68.7,"Trinity College Dublin, The University of Dublin",,201-250,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin
230,57.5,61.8,67.8,49.2,Universidad de Buenos Aires (UBA),,201-250,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba
231,57.3,81.6,55.4,71.4,Universitat Politècnica de València,,201-250,https://www.topuniversities.com/universities/universitat-polit%C3%A8cnica-de-val%C3%A8ncia
232,65.8,72.7,49.9,58.6,Universidade Federal de Santa Catarina ,,201-250,https://www.topuniversities.com/universities/universidade-federal-de-santa-catarina
233,64,74.8,53.8,57.2,Universidade Federal do Rio de Janeiro,,201-250,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro
234,56.5,74.3,59.5,63.5,University of Pisa,,201-250,https://www.topuniversities.com/universities/university-pisa
235,55.7,73.8,65.4,62.3,Université catholique de Louvain (UCL),,201-250,https://www.topuniversities.com/universities/universit%C3%A9-catholique-de-louvain-ucl
236,52.2,83.2,58.8,69.6,Université Pierre et Marie Curie (UPMC),,201-250,https://www.topuniversities.com/universities/universit%C3%A9-pierre-et-marie-curie-upmc
237,50.5,73.4,69.9,61.1,University College Dublin,,201-250,https://www.topuniversities.com/universities/university-college-dublin
