,Name,Link,Rank in 2017,Rank in 2016,Rank in 2015,3 year average rank,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Female board (%),International faculty (%),International students (%),International board (%)
16,Esade Business School,http://rankings.ft.com/businessschoolrankings/esade-business-school?mhq5j=e2,17,23,19,20,Spain,2014,"144,768","146,127",116,62,2,85,50,86 (96),31,37,32,13,41,94,87
17,Dartmouth College: Tuck,http://rankings.ft.com/businessschoolrankings/dartmouth-college-tuck/global-mba-ranking-2017#global-mba-ranking-2017,18,22,23,21,US,2013,"166,722","165,414",105,88,45,86,8,96 (100),13,22,44,18,28,39,41
18,New York University: Stern,http://rankings.ft.com/businessschoolrankings/new-york-university-stern/global-mba-ranking-2017#global-mba-ranking-2017,19,19,18,19,US,2014,"151,067","150,859",102,95,20,86,5,92 (97),14,25,35,20,46,31,20
19,HEC Paris,http://rankings.ft.com/businessschoolrankings/hec-paris?mhq5j=e2,20,15,16,17,France,2014,"132,188","132,073",99,35,37,85,79,91 (90),24,18,33,13,70,93,67
20,IMD,http://rankings.ft.com/businessschoolrankings/imd/global-mba-ranking-2017#global-mba-ranking-2017,21,13,20,18,Switzerland,2015,"156,648","154,511",81,8,31,87,48,79 (100),17,14,19,18,95,97,89
21,SDA Bocconi,http://rankings.ft.com/businessschoolrankings/sda-bocconi/global-mba-ranking-2017#global-mba-ranking-2017,22,25,26,24,Italy,2014,"129,064","129,064",120,30,42,82,60,86 (91),53,38,36,25,31,77,67
22,University of Michigan: Ross,http://rankings.ft.com/businessschoolrankings/university-of-michigan-ross/global-mba-ranking-2017#global-mba-ranking-2017,23,20,24,22,US,2014,"151,941","149,728",105,78,75,87,13,92 (87),12,25,40,17,39,31,9
23,Duke University: Fuqua,http://rankings.ft.com/businessschoolrankings/duke-university-fuqua/global-mba-ranking-2017#global-mba-ranking-2017,24,21,21,22,US,2017,"149,738","150,212",96,96,44,86,26,92 (99),11,19,34,16,42,45,53
24,Nanyang Business School,http://rankings.ft.com/businessschoolrankings/nanyang-business-school/global-mba-ranking-2017#global-mba-ranking-2017,24,29,40,31,Singapore,2016,"126,218","126,218",138,26,64,77,85,100 (100),68,35,40,30,67,89,60
25,National University of Singapore Business School,http://rankings.ft.com/businessschoolrankings/national-university-of-singapore/global-mba-ranking-2017#global-mba-ranking-2017,26,32,31,30,Singapore,2016,"133,152","131,760",136,33,67,82,86,96 (95),40,31,31,12,59,93,38
26,Cornell University: Johnson,http://rankings.ft.com/businessschoolrankings/cornell-university-johnson/global-mba-ranking-2017#global-mba-ranking-2017,27,31,28,29,US,2017,"151,103","150,531",115,71,34,86,11,90 (97),25,25,31,23,42,42,33
27,Indian School of Business,http://rankings.ft.com/businessschoolrankings/indian-school-of-business/global-mba-ranking-2017#global-mba-ranking-2017,27,29,33,30,India,2015,"145,100","145,453",160,51,32,82,54,93 (99),27,22,31,6,22,1,61
28,Indian Institute of Management Ahmedabad,http://rankings.ft.com/businessschoolrankings/indian-institute-of-management-ahmedabad-iima/global-mba-ranking-2017#global-mba-ranking-2017,29,24,26,26,India,2015,"182,736","181,863",105,36,3,79,92,91 (100),15,18,22,0,3,1,0
29,Alliance Manchester Business School,http://rankings.ft.com/businessschoolrankings/manchester-business-school?mhq5j=e2,30,38,35,34,UK,2015,"128,436","130,535",108,43,16,83,51,76 (100),55,37,33,45,43,89,55
30,"Rotterdam School of Management, Erasmus University",http://rankings.ft.com/businessschoolrankings/rsm-erasmus-university?mhq5j=e2,31,42,45,39,Netherlands,2016,"121,776","120,625",98,14,35,84,71,87 (98),46,23,37,29,50,96,33
31,UCLA: Anderson,http://rankings.ft.com/businessschoolrankings/ucla-anderson/global-mba-ranking-2017#global-mba-ranking-2017,32,34,25,30,US,2017,"147,778","149,608",98,77,49,85,6,88 (98),22,22,32,20,38,38,13
32,University of Oxford: Saïd,http://rankings.ft.com/businessschoolrankings/university-of-oxford-said?mhq5j=e2,33,28,22,28,UK,2013,"140,552","139,235",87,22,11,88,41,86 (81),36,18,31,43,58,95,57
33,Shanghai Jiao Tong University: Antai,http://rankings.ft.com/businessschoolrankings/shanghai-jiao-tong-university-acem/global-mba-ranking-2017#global-mba-ranking-2017,34,39,55,43,China,2014,"123,330","123,330",172,31,23,80,17,100 (97),85,30,43,13,3,20,32
34,University of Virginia: Darden,http://rankings.ft.com/businessschoolrankings/university-of-virginia-darden/global-mba-ranking-2017#global-mba-ranking-2017,35,27,32,31,US,2014,"148,336","148,358",111,81,47,86,10,90 (100),18,26,38,29,20,33,9
35,CUHK Business School,http://rankings.ft.com/businessschoolrankings/chinese-university-of-hong-kong?mhq5j=e2,53,-,-,-,MSc in Finance,China,"71,533",21,50,14,74,21,100 (90),24,75,29,55,1,43,57,45
36,City University: Cass,http://rankings.ft.com/businessschoolrankings/city-university-cass/global-mba-ranking-2017#global-mba-ranking-2017,37,37,45,40,UK,2017,"127,110","127,110",85,28,28,84,69,83 (93),61,25,36,58,70,78,67
37,Carnegie Mellon: Tepper,http://rankings.ft.com/businessschoolrankings/carnegie-mellon-tepper/global-mba-ranking-2017#global-mba-ranking-2017,38,33,36,36,US,2014,"137,068","136,576",104,90,58,85,3,85 (100),23,21,28,15,41,41,5
38,University of Hong Kong,http://rankings.ft.com/businessschoolrankings/university-of-hong-kong/global-mba-ranking-2017#global-mba-ranking-2017,39,44,28,37,China,2013,"123,546","123,546",109,49,63,84,44,80 (96),69,27,36,20,37,73,40
39,Georgetown University: McDonough,http://rankings.ft.com/businessschoolrankings/georgetown-university-mcdonough/global-mba-ranking-2017#global-mba-ranking-2017,40,44,42,42,US,2015,"135,950","135,711",105,94,62,85,39,90 (94),34,25,34,19,40,37,18
