,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
336,49.3,United Kingdom,82.9,484,University of Essex,"5,600",,33%,67%,22%,78%,301-350,982,"12,720",https://www.topuniversities.com/universities/university-essex
337,47,United Kingdom,80.3,624,University of Kent,"5,115",,32%,68%,16%,84%,301-350,"1,495","17,755",https://www.topuniversities.com/universities/university-kent
338,44.3,Italy,74.7,39,University of Milano-Bicocca ,"1,994",,29%,71%,36%,64%,301-350,"1,205","33,945",https://www.topuniversities.com/universities/university-milano-bicocca
339,36.6,United States,87.5,351,University of Notre Dame,"1,176",,66%,34%,30%,70%,301-350,"1,170","12,054",https://www.topuniversities.com/universities/university-notre-dame
340,47.9,United Kingdom,76.8,485,University of St Andrews,"4,030",,30%,70%,21%,79%,301-350,"1,140","8,800",https://www.topuniversities.com/universities/university-st-andrews
341,40.8,United States,91.2,64,"The University of Tennessee, Knoxville","1,001",,62%,38%,19%,81%,301-350,"1,819","25,907",https://www.topuniversities.com/universities/university-tennessee-knoxville
342,47.7,United States,83.6,116,University of Texas Dallas,"5,145",,91%,9%,34%,66%,301-350,"1,032","20,767",https://www.topuniversities.com/universities/university-texas-dallas
343,54,Japan,70.3,174,University of Tsukuba,"2,149",,79%,21%,40%,60%,301-350,"2,128","16,637",https://www.topuniversities.com/universities/university-tsukuba
344,48.2,Netherlands,87.6,299,University of Twente,"2,235",,48%,52%,43%,57%,301-350,910,"9,332",https://www.topuniversities.com/universities/university-twente
345,48,United States,92.5,296,University of Utah,"2,213",,47%,53%,26%,74%,301-350,"3,467","25,380",https://www.topuniversities.com/universities/university-utah
346,49.3,Poland,70.2,23,Warsaw University of Technology,"1,507",,49%,48%,34%,66%,301-350,"2,349","34,915",https://www.topuniversities.com/universities/warsaw-university-technology
347,49,United States,85.5,784,Washington University in St. Louis,"2,706",,80%,20%,48%,52%,301-350,"2,699","13,474",https://www.topuniversities.com/universities/washington-university-st-louis
348,47.4,Germany,82,487,Westfälische Wilhelms-Universität Münster ,"2,809",,61%,39%,53%,47%,301-350,"4,202","42,715",https://www.topuniversities.com/universities/westf%C3%A4lische-wilhelms-universit%C3%A4t-m%C3%BCnster
349,45.8,China,82.1,22,Xidian University,266,,17%,83%,35%,65%,301-350,"1,724","32,466",https://www.topuniversities.com/universities/xidian-university
350,41.1,Greece,70.9,2,Athens University of Economics and Business,427,,11%,89%,15%,85%,351-400,262,"9,959",https://www.topuniversities.com/universities/athens-university-economics-business
351,52.2,Indonesia,49,222,Bandung Institute of Technology (ITB),242,,45%,55%,22%,78%,351-400,"1,665","15,660",https://www.topuniversities.com/universities/bandung-institute-technology-itb
352,42.2,Turkey,75.4,163,Bilkent University,775,,25%,75%,14%,86%,351-400,712,"10,639",https://www.topuniversities.com/universities/bilkent-university
353,39.8,Egypt,77.8,138,Cairo University,"8,371",,20%,80%,5%,95%,351-400,"11,873","183,830",https://www.topuniversities.com/universities/cairo-university
354,39.2,Canada,84,134,Carleton University,"4,389",,21%,79%,14%,86%,351-400,"1,124","25,479",https://www.topuniversities.com/universities/carleton-university
355,42.2,South Korea,71.8,313,Chung-Ang University (CAU),"2,785",,32%,68%,18%,82%,351-400,"2,919","19,291",https://www.topuniversities.com/universities/chung-ang-university-cau
356,40.9,United States,82.7,398,City University of New York,"7,421",,24%,76%,12%,88%,351-400,"8,139","128,410",https://www.topuniversities.com/universities/city-university-new-york
357,41.8,Pakistan,74.5,27,COMSATS Institute of Information Technology ,121,,31%,69%,14%,86%,351-400,"2,741","29,811",https://www.topuniversities.com/universities/comsats-institute-information-technology
358,37.5,United Kingdom,80.3,246,Cranfield University,"2,056",,100%,%,100%,%,351-400,650,"2,750",https://www.topuniversities.com/universities/cranfield-university
359,39.9,United Kingdom,80.2,586,Durham University,"4,690",,48%,52%,22%,78%,351-400,"1,539","16,745",https://www.topuniversities.com/universities/durham-university
360,42.9,United States,82.2,121,Florida State University,"1,614",,77%,23%,18%,82%,351-400,"2,022","36,701",https://www.topuniversities.com/universities/florida-state-university
361,47,United States,83,81,George Mason University,"2,090",,54%,46%,25%,75%,351-400,"1,833","25,984",https://www.topuniversities.com/universities/george-mason-university
362,40.6,United States,79.8,261,George Washington University,"3,814",,67%,33%,53%,47%,351-400,"1,708","22,884",https://www.topuniversities.com/universities/george-washington-university
363,43.1,United States,68.9,193,Georgetown University,"2,770",,70%,30%,55%,45%,351-400,"1,859","15,690",https://www.topuniversities.com/universities/georgetown-university
364,48.5,United Kingdom,61.8,185,"Goldsmiths, University of London","2,652",,44%,56%,29%,71%,351-400,590,"7,595",https://www.topuniversities.com/universities/goldsmiths-university-london
365,49.2,,68.8,,Institut polytechnique de Grenoble - Grenoble Institute of Technology,,,,,,,351-400,,,https://www.topuniversities.com/universities/institut-polytechnique-de-grenoble-grenoble-institute-technology
366,40.9,United Kingdom,79.9,307,Heriot-Watt University,"3,529",,54%,46%,27%,73%,351-400,795,"9,170",https://www.topuniversities.com/universities/heriot-watt-university
367,53.4,Russia,61.8,88,ITMO University,"1,578",,53%,47%,47%,53%,351-400,"1,235","10,369",https://www.topuniversities.com/universities/itmo-university
