1st Year Fee in USD,1st Year Total Fee,1st year Fee in INR,Academic Excellence & Success Fee INR ,Academic Excellence & Success Fee USD ,Academic Excellence Fee INR ,Academic Excellence Fee USD ,Academic Facilities Fee INR ,Academic Facilities Fee USD ,Academic Fees INR ,Academic Fees USD ,Academic Records Fee INR ,Academic Records Fee USD ,Accommodation Reservation Charge INR ,Accommodation Reservation Charge USD ,Accommodation Service Fee INR ,Accommodation Service Fee USD ,Accomodation Offered,Ackerman/Kerckhoff Seismic Fee INR ,Ackerman/Kerckhoff Seismic Fee USD ,Activity & Service fee INR ,Activity & Service fee USD ,Activity Fee INR ,Activity Fee USD ,Activity Fees INR ,Activity Fees USD ,Additional Assessment Fee INR ,Additional Assessment Fee USD ,Additional fee INR ,Additional fee USD ,Administrative Fee INR ,Administrative Fee USD ,Advising & Assessment Fee INR ,Advising & Assessment Fee USD ,Application Fee INR ,Application Fee USD ,Application Fees INR ,Application Fees USD ,Application fee INR ,Application fee USD ,Associated Student Body Fee INR ,Associated Student Body Fee USD ,Associated Students Inc INR ,Associated Students Inc USD ,Athletic Fee INR ,Athletic Fee USD ,Athletic fee INR ,Athletic fee USD ,Bachelors,Between Semesters INR ,Between Semesters USD ,Books & Supplies INR ,Books & Supplies USD ,Books INR ,Books USD ,Books and Supplies INR ,Books and Supplies USD ,Books and Supplies fee INR ,Books and Supplies fee USD ,Books and supplies INR ,Books and supplies USD ,Books/Supplies INR ,Books/Supplies USD ,Books/Supplies/Transport/Personal INR ,Books/Supplies/Transport/Personal USD ,Books/supplies/other expenses INR ,Books/supplies/other expenses USD ,Building Fee INR ,Building Fee USD ,COE Program Enhancement Fee INR ,COE Program Enhancement Fee USD ,Campus Based Fees INR ,Campus Based Fees USD ,Campus Fee INR ,Campus Fee USD ,Campus Fees INR ,Campus Fees USD ,Campus Life Fee INR ,Campus Life Fee USD ,Campus Rec Facility Fee INR ,Campus Rec Facility Fee USD ,Campus Union Fee INR ,Campus Union Fee USD ,Campus security Fee INR ,Campus security Fee USD ,Capital Construction Fee INR ,Capital Construction Fee USD ,Class 12th,Clothing/ Maintenance INR ,Clothing/ Maintenance USD ,College Fee INR ,College Fee USD ,Commencement Fee INR ,Commencement Fee USD ,Comprehensive Fee INR ,Comprehensive Fee USD ,Computer / Technology Fee INR ,Computer / Technology Fee USD ,Computer Purchase INR ,Computer Purchase USD ,Computer/Cell Phone INR ,Computer/Cell Phone USD ,Computing and Network Services INR ,Computing and Network Services USD ,CourseName,Discipline Fee INR ,Discipline Fee USD ,Document Evaluation INR ,Document Evaluation USD ,Document Fee INR ,Document Fee USD ,Duration,Early Childhood Edu Center Fee INR ,Early Childhood Edu Center Fee USD ,Engineering Activity Fee INR ,Engineering Activity Fee USD ,Engineering Equipment Fee INR ,Engineering Equipment Fee USD ,Engineering Fee INR ,Engineering Fee USD ,Engineering tuition surcharge INR ,Engineering tuition surcharge USD ,Enrollment Deposit INR ,Enrollment Deposit USD ,Enrollment Fee INR ,Enrollment Fee USD ,Enrollment deposit fee INR ,Enrollment deposit fee USD ,Facilities Fee INR ,Facilities Fee USD ,Fees INR ,Fees USD ,GRE,GRE Recommendation,General Activity Fee INR ,General Activity Fee USD ,General Fee INR ,General Fee USD ,Government Fee INR ,Government Fee USD ,Graduate Differential Fee INR ,Graduate Differential Fee USD ,Graduate Entering Fee INR ,Graduate Entering Fee USD ,Graduate General Fee INR ,Graduate General Fee USD ,Graduate Program Enhancement Fees INR ,Graduate Program Enhancement Fees USD ,Graduate Program Fee INR ,Graduate Program Fee USD ,Graduate Senate Tax INR ,Graduate Senate Tax USD ,Graduate Student Activity Fee INR ,Graduate Student Activity Fee USD ,Graduate Student Association Fee INR ,Graduate Student Association Fee USD ,Health Care Allowance INR ,Health Care Allowance USD ,Health Center Fee INR ,Health Center Fee USD ,Health Fee INR ,Health Fee USD ,Health Service Fee INR ,Health Service Fee USD ,Health Services Fee INR ,Health Services Fee USD ,Health and Counseling Center Fee INR ,Health and Counseling Center Fee USD ,Health and Wellness Fee INR ,Health and Wellness Fee USD ,Health fee INR ,Health fee USD ,Hostel & Meals INR ,Hostel & Meals USD ,Housing Application Fee INR ,Housing Application Fee USD ,Housing Application Fees INR ,Housing Application Fees USD ,Housing Deposit INR ,Housing Deposit USD ,Housing Fee INR ,Housing Fee USD ,IELTS,IELTS Recommendation,IT Service and Maintenance Fee INR ,IT Service and Maintenance Fee USD ,ITIE Fee INR ,ITIE Fee USD ,Incidentals INR ,Incidentals USD ,Information Technology Fee INR ,Information Technology Fee USD ,Information tech fee INR ,Information tech fee USD ,Insurance INR ,Insurance USD ,Intercollegiate Athletics Fee INR ,Intercollegiate Athletics Fee USD ,International Fee INR ,International Fee USD ,International Infrastructural Fee INR ,International Infrastructural Fee USD ,International Services Charge INR ,International Services Charge USD ,International Student Enrollment Fe INR ,International Student Enrollment Fe USD ,International Student Fee INR ,International Student Fee USD ,International Student Service Fee INR ,International Student Service Fee USD ,International student fee INR ,International student fee USD ,Lab Fee INR ,Lab Fee USD ,Laboratory Fees INR ,Laboratory Fees USD ,Level,Library & IT Fee INR ,Library & IT Fee USD ,Library Automation & Technology Fee INR ,Library Automation & Technology Fee USD ,Library Fee INR ,Library Fee USD ,Library Services Fee INR ,Library Services Fee USD ,Living Expenses INR ,Living Expenses USD ,Living expenses INR ,Living expenses USD ,Maintenance Fee INR ,Maintenance Fee USD ,Maintenance of Matriculation Fee INR ,Maintenance of Matriculation Fee USD ,Mandatory Fees INR ,Mandatory Fees USD ,Mandatory Health Fee INR ,Mandatory Health Fee USD ,Mandatory fees INR ,Mandatory fees USD ,Material & Supply Fee INR ,Material & Supply Fee USD ,Matriculation Fee INR ,Matriculation Fee USD ,Medical Plans INR ,Medical Plans USD ,Medical Service Fee INR ,Medical Service Fee USD ,Miscellaneous Expense INR ,Miscellaneous Expense USD ,Miscellaneous Fee INR ,Miscellaneous Fee USD ,Miscellaneous Fees INR ,Miscellaneous Fees USD ,Miscellaneous INR ,Miscellaneous USD ,Miscellaneous and Personal Expense INR ,Miscellaneous and Personal Expense USD ,Miscellaneous expense INR ,Miscellaneous expense USD ,Miscellaneous expenses INR ,Miscellaneous expenses USD ,Miscellaneous fee INR ,Miscellaneous fee USD ,Miscellaneous/Personal INR ,Miscellaneous/Personal USD ,New Student Fee INR ,New Student Fee USD ,New international student fee INR ,New international student fee USD ,Non resident financial aid fee INR ,Non resident financial aid fee USD ,One to One Fitness INR ,One to One Fitness USD ,Orientation Fee INR ,Orientation Fee USD ,Other Costs INR ,Other Costs USD ,Other Mandatory fees INR ,Other Mandatory fees USD ,Other expenses INR ,Other expenses USD ,Other fees INR ,Other fees USD ,PTE,PTE Recommendation,Personal & Misc. INR ,Personal & Misc. USD ,Personal & Miscellaneous INR ,Personal & Miscellaneous USD ,Personal / Misc INR ,Personal / Misc USD ,Personal Expenses INR ,Personal Expenses USD ,Personal INR ,Personal USD ,Personal expense INR ,Personal expense USD ,Personal expenses INR ,Personal expenses USD ,Personal/ travel Expenses INR ,Personal/ travel Expenses USD ,Personal/Miscellaneous INR ,Personal/Miscellaneous USD ,Private/Public,Program Fee INR ,Program Fee USD ,Property Deposit Fee INR ,Property Deposit Fee USD ,Rec Sports Fee INR ,Rec Sports Fee USD ,Records Initiation Fee INR ,Records Initiation Fee USD ,Recreation Center Expansion Fee INR ,Recreation Center Expansion Fee USD ,Recreation Center Fee INR ,Recreation Center Fee USD ,Recreation Fee INR ,Recreation Fee USD ,Recreation and Wellness Center Fee INR ,Recreation and Wellness Center Fee USD ,Reg Fee INR ,Reg Fee USD ,Registration Fee INR ,Registration Fee USD ,Registration and services fee INR ,Registration and services fee USD ,Required Fees INR ,Required Fees USD ,SPARC Fee INR ,SPARC Fee USD ,Schol Link,Schol Text,Scholarship Offered,School Fee INR ,School Fee USD ,School Supplies & Misc INR ,School Supplies & Misc USD ,"Security, Safety, and Transportatio INR ","Security, Safety, and Transportatio USD ",Service Fee INR ,Service Fee USD ,Special Service Fee INR ,Special Service Fee USD ,Student Activity Fee INR ,Student Activity Fee USD ,Student Affairs Fee INR ,Student Affairs Fee USD ,Student Assessment Fee INR ,Student Assessment Fee USD ,Student Athletic Fee INR ,Student Athletic Fee USD ,Student Athletics Fee INR ,Student Athletics Fee USD ,Student Center Fee INR ,Student Center Fee USD ,Student Computing Fee INR ,Student Computing Fee USD ,Student Development Fee INR ,Student Development Fee USD ,Student Excellence Fee INR ,Student Excellence Fee USD ,Student Facility Fee INR ,Student Facility Fee USD ,Student Fees INR ,Student Fees USD ,Student Financial Aid fee INR ,Student Financial Aid fee USD ,Student Health Fee INR ,Student Health Fee USD ,Student Health Services INR ,Student Health Services USD ,Student Life Fee INR ,Student Life Fee USD ,Student Orientation fee INR ,Student Orientation fee USD ,Student Programs Fee INR ,Student Programs Fee USD ,Student Programs and Services Fee INR ,Student Programs and Services Fee USD ,Student Service Facility Fee INR ,Student Service Facility Fee USD ,Student Service Fee INR ,Student Service Fee USD ,Student Services Fee INR ,Student Services Fee USD ,Student Success Fee INR ,Student Success Fee USD ,Student Union Fee INR ,Student Union Fee USD ,Student Union fee INR ,Student Union fee USD ,Sustainability fee INR ,Sustainability fee USD ,Swinney Rec fee INR ,Swinney Rec fee USD ,TOEFL,TOEFL Recommendation,Tech Fee INR ,Tech Fee USD ,Technology Fee INR ,Technology Fee USD ,Technology Fees INR ,Technology Fees USD ,Technology Infrastructure Fee INR ,Technology Infrastructure Fee USD ,Technology fee INR ,Technology fee USD ,Telephone/Cell Phone INR ,Telephone/Cell Phone USD ,Textbooks INR ,Textbooks USD ,Thesis Processing Fee INR ,Thesis Processing Fee USD ,Total INR ,Total USD ,Transport/Miscellaneous INR ,Transport/Miscellaneous USD ,Transportation Fee INR ,Transportation Fee USD ,Transportation INR ,Transportation USD ,Tuition Deposit INR ,Tuition Deposit USD ,UPass Fee INR ,UPass Fee USD ,URL,University Center Fee INR ,University Center Fee USD ,University Charge INR ,University Charge USD ,University Facilities Fee INR ,University Facilities Fee USD ,University Services Fee INR ,University Services Fee USD ,University Student Union INR ,University Student Union USD ,University and Student Fees INR ,University and Student Fees USD ,University-Student Union INR ,University-Student Union USD ,Wellness Center Fee INR ,Wellness Center Fee USD ,Wellness Fee INR ,Wellness Fee USD ,Work experience
"26,322",Rs 23.4 Lakhs,"17,01,717",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,271",97,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,M.S. in Mechanical Engineering,,,,,,,1-2 Years,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,23,043","3,450",,,,,,,,,7,No individual section score less than 6,,,,,,,,,,,"2,19,875","3,401",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,"29,028",449,"11,443",177,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,"21,335",330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,270","1,056",,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 6,37,449","USD 9,860",,,,,"58,185",900,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-california-riverside-campus/m-s-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"22,356",Rs 27.8 Lakhs,"14,45,315",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"9,568",148,,,,,,,2.50 GPA,,,"1,22,706","1,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,326",268,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5 - 2 Years,,,,,,,,,,,"16,163",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,344",160,,,,,,,,,,,,,"8,51,828","13,176",,,,,,,,,6.5,,,,,,,,,,,,"87,924","1,360",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,698",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,"91,544","1,416",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fullerton.edu/international/studentlife/scholarship.aspx,"['University provides scholarships to International students based on their academic performances during the course of the program\n1. International Education Scholarship\n', 'This $750 scholarship is given to students with financial need and who have 2.75 GPA']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,403",362,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 13,33,471","USD 20,626",,,,,"92,967","1,438",,,,,https://studyabroad.shiksha.com/usa/universities/california-state-university-fullerton/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"14,914",Rs 22.5 Lakhs,"9,64,190",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,"8,081",125,,,,,,,,,3.00 GPA,,,,,,,,,,,"88,183","1,364",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,44,509","11,516",,,,,,,,,6,,,,,,,,,,,,"49,393",764,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,"43,962",680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,133",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,72,047","4,208",,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,"16,163",250,,,,,,,"Rs. 12,90,414","USD 19,960",,,,,"65,943","1,020",,,,,https://studyabroad.shiksha.com/usa/universities/the-city-college-of-new-york/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"13,760",Rs 21.2 Lakhs,"8,89,584",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"3,233",50,,,,,,,,,,,3.00 GPA,,,,,,,"62,840",972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,37,786","11,412",,,,,,,,,7,Minimum band score of 6.0 in each module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,15,155","3,328",,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,"Minimum score of 22 in Speaking and minimum score of 21 in Listening, Reading, and Writing",,,,,,,,,,,,,,,,,"Rs. 12,27,962","USD 18,994",,,,,"2,08,949","3,232",,,,,https://studyabroad.shiksha.com/usa/universities/brigham-young-university/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"29,628",Rs 33.3 Lakhs,"19,15,450",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"4,849",75,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,26,901","15,884",,,,,,,,,7,Recommended minimum,,,,,,,,,,,"2,69,397","4,167",,,,,,,,,,,"11,637",180,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,"98,915","1,530",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Recommended minimum,,,,,,,,,,,,,,,,,"Rs. 14,11,697","USD 21,836",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/new-york-university-polytechnic-school-of-engineering/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"32,562",Rs 24.0 Lakhs,"21,05,133",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master's of Science in Mechanical Engineering,,,,,,,1 Years,,,,,,,"20,688",320,,,,,,,,,,,,,,,,,,,,,,,"23,080",357,,,,,"35,558",550,"7,758",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"89,023","1,377",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,"71,632","1,108",,,,,,,,,,,,,,,,,,,,,,,,,,,"42,281",654,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 2,90,020","USD 4,486",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-massachusetts-amherst/master-s-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"25,400",Rs 20.7 Lakhs,"16,42,110",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,"84,562","1,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Automotive Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,"80,554","1,246",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,"6,465",100,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,"1,20,249","1,860",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 4,24,751","USD 6,570",,,,,"1,32,920","2,056",,,,,https://studyabroad.shiksha.com/usa/universities/clemson-university/master-of-science-in-automotive-engineering,,,,,,,,,,,,,,,,,,,No work experience mentioned
"16,670",Rs 14.6 Lakhs,"10,77,716",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"58,832",910,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.0 in each subsection,,,,,,,,,,,"1,41,260","2,185",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,"1,04,992","1,624",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 3,78,009","USD 5,847",,,,,"72,925","1,128",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-texas-at-tyler/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"15,558",Rs 20.0 Lakhs,"10,05,825",,,,,"22,304",345,,,"4,849",75,,,,,Yes,,,,,,,,,,,,,,,"9,827",152,,,,,,,,,,,,,,,3.00 GPA,,,"66,590","1,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Industrial Engineering and Management,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,303,Minimum 145 in Verbal Reasoning and 158 in Quantitative Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,495",85,,,,,,,"4,49,318","6,950",,,,,,,,,6.5,,,,,,,,,,,,"1,05,056","1,625",,,,,,,,,,,,,,,,,,,,,Masters Program,,,"18,813",291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,69,383","2,620",,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,"6,012",93,,,,,,,,,,,,,"2,263",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 9,96,321","USD 15,411",,,,,"1,36,412","2,110",,,,,https://studyabroad.shiksha.com/usa/universities/oklahoma-state-university/master-of-science-in-industrial-engineering-and-management,,,,,,,,,,,,,,,,,,,
"26,139",Rs 20.4 Lakhs,"16,89,886",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,321","1,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,• Waiver of the GRE may be granted by the department  on a case by case basis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,54,190","2,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,"18,425",285,,,,,,,http://wayne.edu/scholarships/,"['Wayne State University offers a variety of merit scholarships to new students. \nWSU colleges, schools, and academic departments also offer a number of awards based on a combination of criteria including financial need, scholastic achievement or leadership qualities.']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,02,212","1,581",,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 3,52,149","USD 5,447",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/wayne-state-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"17,436",Rs 15.1 Lakhs,"11,27,237",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,"65,297","1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"1,42,230","2,200",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,12,297","1,737",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,"19,395",300,,,,,,,,,,,,,"Rs. 3,86,930","USD 5,985",,,,,"47,712",738,,,,,https://studyabroad.shiksha.com/usa/universities/ohio-university/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"31,248",Rs 23.2 Lakhs,"20,20,183",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,"4,526",70,,,,,"3,685",57,,,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,981",340,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,"157 Verbal, 159 Quantitative, and 4.5 Analytical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,358",748,,,,,,,,,6.5,,,,,,,,,,,,"1,22,189","1,890",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,468",363,,,,,"9,374",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,"13,835",214,,,,,,,,,,,,,,,,,No,,,,,,,,,,,"37,044",573,,,,,,,,,,,"8,728",135,,,,,,,,,,,"11,184",173,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 3,04,372","USD 4,708",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-colorado-boulder/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"26,776",Rs 30.2 Lakhs,"17,31,068",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,"57,021",882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical and Aerospace Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,Quantitative Reasoning score of 155 or higher are normally expected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,77,947","13,580",,,,,,,,,6.5,No band under 6.0,,,,,,,,,,,"1,44,170","2,230",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,23,740","1,914",,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,No sub score under 20,,,,,,,,,,,,,,,,,"Rs. 12,92,741","USD 19,996",,,,,"89,864","1,390",,,,,https://studyabroad.shiksha.com/usa/universities/syracuse-university/master-of-science-in-mechanical-and-aerospace-engineering,,,,,,,,,,,,,,,,,,,
